nohup: ignoring input
CIFAR100 found locally: /remote-home/elison/FSEML-rewrite-2026/data/cifar100
CIFAR100 found locally: /remote-home/elison/FSEML-rewrite-2026/data/cifar100
{"epoch": 79, "learning_rate": 0.06693689601226462, "train_accuracy": 0.6465, "train_loss": 1.8830794218444824, "validation_accuracy": 0.5222, "validation_loss": 1.8625949354171754}
{"epoch": 80, "learning_rate": 0.06619587090990751, "train_accuracy": 0.65078, "train_loss": 1.8751776628112793, "validation_accuracy": 0.5567, "validation_loss": 1.7083984539031982}
{"epoch": 81, "learning_rate": 0.06545084971874741, "train_accuracy": 0.65034, "train_loss": 1.8682106829833984, "validation_accuracy": 0.5576, "validation_loss": 1.704574514389038}
{"epoch": 82, "learning_rate": 0.06470201626161524, "train_accuracy": 0.65226, "train_loss": 1.8609448681640626, "validation_accuracy": 0.5722, "validation_loss": 1.6293237621307373}
{"epoch": 83, "learning_rate": 0.06394955530196152, "train_accuracy": 0.65566, "train_loss": 1.8503825049591065, "validation_accuracy": 0.5774, "validation_loss": 1.602730465888977}
{"epoch": 84, "learning_rate": 0.06319365249826868, "train_accuracy": 0.65694, "train_loss": 1.8496989939498902, "validation_accuracy": 0.5778, "validation_loss": 1.6306095197677613}
{"epoch": 85, "learning_rate": 0.06243449435824277, "train_accuracy": 0.65998, "train_loss": 1.8395182656097413, "validation_accuracy": 0.5243, "validation_loss": 1.8670916946411134}
{"epoch": 86, "learning_rate": 0.06167226819279532, "train_accuracy": 0.66012, "train_loss": 1.8343250913619995, "validation_accuracy": 0.589, "validation_loss": 1.5468900882720946}
{"epoch": 87, "learning_rate": 0.06090716206982718, "train_accuracy": 0.6622, "train_loss": 1.8294102714538574, "validation_accuracy": 0.5841, "validation_loss": 1.5717460718154908}
{"epoch": 88, "learning_rate": 0.06013936476782568, "train_accuracy": 0.66824, "train_loss": 1.818980245742798, "validation_accuracy": 0.577, "validation_loss": 1.6492423709869384}
{"epoch": 89, "learning_rate": 0.05936906572928629, "train_accuracy": 0.66834, "train_loss": 1.8100501418304444, "validation_accuracy": 0.5764, "validation_loss": 1.639999838256836}
{"epoch": 90, "learning_rate": 0.05859645501397052, "train_accuracy": 0.6694, "train_loss": 1.8095772595214843, "validation_accuracy": 0.5764, "validation_loss": 1.600282582473755}
{"epoch": 91, "learning_rate": 0.05782172325201159, "train_accuracy": 0.67456, "train_loss": 1.794834978942871, "validation_accuracy": 0.5629, "validation_loss": 1.6806593198776245}
{"epoch": 92, "learning_rate": 0.057045061596879186, "train_accuracy": 0.67602, "train_loss": 1.789388164176941, "validation_accuracy": 0.5717, "validation_loss": 1.6452305200576782}
{"epoch": 93, "learning_rate": 0.056266661678215264, "train_accuracy": 0.68018, "train_loss": 1.7841108563232422, "validation_accuracy": 0.557, "validation_loss": 1.7007755432128906}
{"epoch": 94, "learning_rate": 0.055486715554552306, "train_accuracy": 0.68266, "train_loss": 1.7714118981552125, "validation_accuracy": 0.5863, "validation_loss": 1.5661560131072998}
{"epoch": 95, "learning_rate": 0.05470541566592575, "train_accuracy": 0.68304, "train_loss": 1.7641921103668212, "validation_accuracy": 0.5838, "validation_loss": 1.5728972024917602}
{"epoch": 96, "learning_rate": 0.05392295478639229, "train_accuracy": 0.68454, "train_loss": 1.7640189897155762, "validation_accuracy": 0.5504, "validation_loss": 1.7413665031433105}
{"epoch": 97, "learning_rate": 0.05313952597646571, "train_accuracy": 0.689, "train_loss": 1.7483996086883544, "validation_accuracy": 0.5881, "validation_loss": 1.5637187406539916}
{"epoch": 98, "learning_rate": 0.05235532253548216, "train_accuracy": 0.68926, "train_loss": 1.7435614836120605, "validation_accuracy": 0.5933, "validation_loss": 1.5385438850402833}
{"epoch": 99, "learning_rate": 0.051570537953906447, "train_accuracy": 0.6942, "train_loss": 1.7304582555389405, "validation_accuracy": 0.5881, "validation_loss": 1.5752627027511596}
{"epoch": 100, "learning_rate": 0.05078536586559106, "train_accuracy": 0.69904, "train_loss": 1.7218122168731689, "validation_accuracy": 0.6068, "validation_loss": 1.4821248929977417}
{"epoch": 101, "learning_rate": 0.050000000000000024, "train_accuracy": 0.69872, "train_loss": 1.7174012804412842, "validation_accuracy": 0.6034, "validation_loss": 1.4965539831161498}
{"epoch": 102, "learning_rate": 0.049214634134409, "train_accuracy": 0.70034, "train_loss": 1.7070880673217774, "validation_accuracy": 0.6148, "validation_loss": 1.45679054145813}
{"epoch": 103, "learning_rate": 0.04842946204609361, "train_accuracy": 0.70448, "train_loss": 1.6956368726348876, "validation_accuracy": 0.5998, "validation_loss": 1.5068365045547485}
{"epoch": 104, "learning_rate": 0.04764467746451789, "train_accuracy": 0.7048, "train_loss": 1.6970820825195312, "validation_accuracy": 0.5774, "validation_loss": 1.6469691080093385}
{"epoch": 105, "learning_rate": 0.046860474023534354, "train_accuracy": 0.70808, "train_loss": 1.6820589203643799, "validation_accuracy": 0.6026, "validation_loss": 1.5060791915893554}
{"epoch": 106, "learning_rate": 0.04607704521360778, "train_accuracy": 0.7137, "train_loss": 1.6706604482269287, "validation_accuracy": 0.6088, "validation_loss": 1.4886400915145874}
{"epoch": 107, "learning_rate": 0.04529458433407431, "train_accuracy": 0.71776, "train_loss": 1.6589113887786866, "validation_accuracy": 0.6175, "validation_loss": 1.4451813261032105}
{"epoch": 108, "learning_rate": 0.04451328444544776, "train_accuracy": 0.72114, "train_loss": 1.6507996607971192, "validation_accuracy": 0.6086, "validation_loss": 1.483046368598938}
{"epoch": 109, "learning_rate": 0.04373333832178482, "train_accuracy": 0.72474, "train_loss": 1.64118755859375, "validation_accuracy": 0.6164, "validation_loss": 1.4843292488098145}
{"epoch": 110, "learning_rate": 0.0429549384031209, "train_accuracy": 0.72402, "train_loss": 1.6362298365783692, "validation_accuracy": 0.5925, "validation_loss": 1.5795918531417847}
{"epoch": 111, "learning_rate": 0.042178276747988484, "train_accuracy": 0.72866, "train_loss": 1.6222094520950316, "validation_accuracy": 0.6087, "validation_loss": 1.5038074478149415}
{"epoch": 112, "learning_rate": 0.04140354498602954, "train_accuracy": 0.73238, "train_loss": 1.613026085395813, "validation_accuracy": 0.628, "validation_loss": 1.4100656623840333}
{"epoch": 113, "learning_rate": 0.0406309342707138, "train_accuracy": 0.7331, "train_loss": 1.603100004043579, "validation_accuracy": 0.632, "validation_loss": 1.4176822259902955}
{"epoch": 114, "learning_rate": 0.03986063523217441, "train_accuracy": 0.73932, "train_loss": 1.589507015838623, "validation_accuracy": 0.6449, "validation_loss": 1.34715693359375}
{"epoch": 115, "learning_rate": 0.039092837930172916, "train_accuracy": 0.74426, "train_loss": 1.5783098487091065, "validation_accuracy": 0.6143, "validation_loss": 1.4718912120819092}
{"epoch": 116, "learning_rate": 0.03832773180720475, "train_accuracy": 0.74696, "train_loss": 1.5680833205413818, "validation_accuracy": 0.6318, "validation_loss": 1.4218474222183228}
{"epoch": 117, "learning_rate": 0.037565505641757285, "train_accuracy": 0.74918, "train_loss": 1.5567795886230469, "validation_accuracy": 0.6266, "validation_loss": 1.4292177909851074}
{"epoch": 118, "learning_rate": 0.03680634750173138, "train_accuracy": 0.75218, "train_loss": 1.5487218258285522, "validation_accuracy": 0.6327, "validation_loss": 1.3755169406890868}
{"epoch": 119, "learning_rate": 0.036050444698038565, "train_accuracy": 0.76158, "train_loss": 1.5327281880950927, "validation_accuracy": 0.6399, "validation_loss": 1.3638673838615418}
{"epoch": 120, "learning_rate": 0.03529798373838483, "train_accuracy": 0.76382, "train_loss": 1.5189473550796508, "validation_accuracy": 0.6216, "validation_loss": 1.4523504266738891}
{"epoch": 121, "learning_rate": 0.03454915028125267, "train_accuracy": 0.76562, "train_loss": 1.5144721841430664, "validation_accuracy": 0.619, "validation_loss": 1.4788984855651854}
{"epoch": 122, "learning_rate": 0.03380412909009255, "train_accuracy": 0.76796, "train_loss": 1.4987123220062255, "validation_accuracy": 0.6195, "validation_loss": 1.4737400774002076}
{"epoch": 123, "learning_rate": 0.03306310398773545, "train_accuracy": 0.77494, "train_loss": 1.482857777709961, "validation_accuracy": 0.6353, "validation_loss": 1.3986263286590577}
{"epoch": 124, "learning_rate": 0.03232625781103717, "train_accuracy": 0.77834, "train_loss": 1.4758342958831787, "validation_accuracy": 0.6374, "validation_loss": 1.384507523727417}
{"epoch": 125, "learning_rate": 0.03159377236576613, "train_accuracy": 0.78362, "train_loss": 1.4603089047241211, "validation_accuracy": 0.6484, "validation_loss": 1.3630802408218383}
{"epoch": 126, "learning_rate": 0.030865828381745543, "train_accuracy": 0.78568, "train_loss": 1.453022744216919, "validation_accuracy": 0.6535, "validation_loss": 1.3385070013046265}
{"epoch": 127, "learning_rate": 0.03014260546826098, "train_accuracy": 0.78922, "train_loss": 1.4441645389938353, "validation_accuracy": 0.6356, "validation_loss": 1.4042072246551514}
{"epoch": 128, "learning_rate": 0.02942428206974458, "train_accuracy": 0.79612, "train_loss": 1.421621492576599, "validation_accuracy": 0.6332, "validation_loss": 1.4459588575363158}
{"epoch": 129, "learning_rate": 0.028711035421746387, "train_accuracy": 0.80028, "train_loss": 1.4099014128875733, "validation_accuracy": 0.6648, "validation_loss": 1.2708846946716308}
{"epoch": 130, "learning_rate": 0.02800304150720426, "train_accuracy": 0.80606, "train_loss": 1.391519819946289, "validation_accuracy": 0.6545, "validation_loss": 1.32748824634552}
{"epoch": 131, "learning_rate": 0.02730047501302268, "train_accuracy": 0.81132, "train_loss": 1.3824384963989258, "validation_accuracy": 0.6499, "validation_loss": 1.3603349754333496}
{"epoch": 132, "learning_rate": 0.026603509286971357, "train_accuracy": 0.81664, "train_loss": 1.36961055229187, "validation_accuracy": 0.6505, "validation_loss": 1.3648549097061158}
{"epoch": 133, "learning_rate": 0.025912316294914244, "train_accuracy": 0.81914, "train_loss": 1.3574983682250976, "validation_accuracy": 0.6615, "validation_loss": 1.3041179515838623}
{"epoch": 134, "learning_rate": 0.025227066578379632, "train_accuracy": 0.8269, "train_loss": 1.338590317878723, "validation_accuracy": 0.6374, "validation_loss": 1.4154068239212036}
{"epoch": 135, "learning_rate": 0.024547929212481445, "train_accuracy": 0.82664, "train_loss": 1.3344344452667236, "validation_accuracy": 0.6628, "validation_loss": 1.327619387626648}
{"epoch": 136, "learning_rate": 0.02387507176420257, "train_accuracy": 0.83792, "train_loss": 1.309317348060608, "validation_accuracy": 0.6508, "validation_loss": 1.3487457986831666}
{"epoch": 137, "learning_rate": 0.023208660251050166, "train_accuracy": 0.83898, "train_loss": 1.3015012132263184, "validation_accuracy": 0.6601, "validation_loss": 1.3246321491241455}
{"epoch": 138, "learning_rate": 0.022548859100093414, "train_accuracy": 0.84342, "train_loss": 1.288140403137207, "validation_accuracy": 0.6713, "validation_loss": 1.2749035625457763}
